article,discuss,insertTime,origin,person_id,time,net_name,sex,keyword,area
:得知袁隆平病逝，心里突然一紧缩，“这是一位对国家、对人类有极大贡献的人物，值得我们纪念”，      致敬袁老先生，一路走好！ ,0,2021-05-22 18:40:07,华为畅享20 SE,5617708418,2021-05-22 18:39:00,路得523,女,袁隆平,湖南
:#袁隆平逝世# 家里的秧田种满了您培育的杂交水稻长得可好了今年也是不愁米饭的一年 您能醒来看看吗 ,0,2021-05-22 18:40:05,nova5Pro人像超级夜景,5590607178,2021-05-22 18:39:00,爱吃草莓的Wanwan,女,袁隆平,山东
:#长沙市民雨中送别袁隆平# 一破防就止不住此刻就很想回到长沙 澳大利亚·悉尼 ,0,2021-05-22 18:40:03,iPhone,5583376944,2021-05-22 18:39:00,白夜y,女,袁隆平,其他
:现在吃饭就会想起袁隆平爷爷👴🏻 。好难受好难受。别这样好不好，这一天不要到来，行不行。。。他永远那么慈祥。。。 ,0,2021-05-22 18:40:00,K30 至尊纪念版,5532302858,2021-05-22 18:39:00,哆啦哆啦go女,女,袁隆平,湖南
【#袁隆平常在路边小店理发# 如今再看已满含热泪,1330,2021-05-22 18:40:02,iPhone客户端,5494774806,2021-05-22 18:39:00,择天记的小凤凰,女,袁隆平,其他
:#送别国之脊梁袁隆平#人间的星星回到天上了啊，作为普通人，好好过好每一天，吃好每一餐，不浪费粮食。一粥一饭，当思来处不易，半丝半缕，恒念物力维艰。 ,0,2021-05-22 18:40:01,iPhone客户端,5470927897,2021-05-22 18:39:00,面包给人幸福女,女,袁隆平,浙江
#长沙市民雨中送别袁爷爷# 运送袁老的灵车经过，长沙市民集体为灵车让行，车主集体鸣笛为袁老送别。 今日女报的微博视频 ,8760,2021-05-22 18:40:09,只爱帅哥Android,5464358438,2021-05-22 18:39:00,柒77L,女,袁隆平,江苏
#袁隆平逝世#【人物/纪录片《为时代而歌:袁隆平》】 讲述杂交水稻之父袁隆平传奇的一生！致敬！,150,2021-05-22 18:40:09,vivo Y70s 5G,5446257627,2021-05-22 18:39:00,仙人掌殿下,女,袁隆平,其他
:#共和国痛失袁隆平院士#上一次看什么都哭应该是阅兵,0,2021-05-22 18:40:01,Share微博客户端,5387329803,2021-05-22 18:39:00,刘冠佑今天发微博了吗,女,袁隆平,江苏
#长沙市民雨中送别袁爷爷# 运送袁老的灵车经过，长沙市民集体为灵车让行，车主集体鸣笛为袁老送别。 今日女报的微博视频 ,8760,2021-05-22 18:40:09,HUAWEI P30,5351833936,2021-05-22 18:39:00,鞠躬了就退位了,男,袁隆平,其他
:#袁隆平院士为中国带来了哪些变化# 从此不再浪费粮食！袁爷爷，一路走好！！！ ,0,2021-05-22 18:40:04,iPhone客户端,5283337740,2021-05-22 18:39:00,奥特他不是曼女,女,袁隆平,湖南
死能如此，生而无憾 吃瓜群众岱岱的微博视频 ,290,2021-05-22 18:40:00,华为手机 畅享玩不停,5276125796,2021-05-22 18:39:00,云南516,男,袁隆平,云南
:节约粮食，吃光了，有点撑🙃#袁隆平# ,1,2021-05-22 18:40:03,荣耀30 5G,5225726227,2021-05-22 18:39:00,simoon杍,女,袁隆平,其他
:#袁隆平院士逝世#稻香阵阵 感恩斯人 ,0,2021-05-22 18:40:05,iPhone 12,5214881807,2021-05-22 18:39:00,ThoroughY,女,袁隆平,湖南
【双星陨落！#共和国一天痛失两位院士#】5月22日13时02分，“中国肝胆外科之父”吴孟超逝世，享年99岁。5月22日13时07分，“杂交水稻之父”袁隆平逝世，享年91岁。国士无双，#愿世间如你们所愿医食无忧#，送别！ ,979480,2021-05-22 18:40:10,iPhone客户端,5177879199,2021-05-22 18:39:00,潘尼喵女,女,袁隆平,广东
:#长沙市民鸣笛送别袁隆平#从未想过您会离开  回头想想  从小学在课本中认识您  到现在也小二十年了  所有人都叫您袁爷爷👴您是那么的亲切  过年的时候在电视上见到您还是那么的健壮  以至于让我忘记您已经九十一岁高龄   朋友说，您太伟大了，伟大到让我们都忘记了您已经是一位九十一岁的老人  伟大到让我们忘记您也会生病  也会离开,0,2021-05-22 18:40:03,iPhone客户端,5124195425,2021-05-22 18:39:00,卟凡,女,袁隆平,山东
:打开UC，看到新鲜生活 来看@政事儿 的小视频：袁隆平：我不能躺在功劳簿上吃老本，应该继续努力#袁隆平 ,0,2021-05-22 18:40:09,UC浏览器Android,5118517846,2021-05-22 18:39:00,我的微博74378男,男,袁隆平,新疆
【#袁隆平院士逝世#】“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。袁老，走好！ ,1707540,2021-05-22 18:40:09,nova5Pro人像超级夜景,5047785108,2021-05-22 18:39:00,独爱陈蓉,女,袁隆平,河北
【痛悼！#共和国痛失袁隆平院士#,5997420,2021-05-22 18:40:08,iPhone客户端,5019112143,2021-05-22 18:39:00,yy煙雨朦女,女,袁隆平,吉林
24小时之内的热搜，如此沉重… ,2310,2021-05-22 18:40:04,HUAWEI P30,5013417798,2021-05-22 18:39:00,lemon向日葵LU女,女,袁隆平,山东
:#袁隆平逝世#突然想到桌上的历史书“现代科技”这一章上，袁老的下面还有印着（1930-  ），突然想到以后的这一页上，就会改成“（1930-2021）”突然就哭了我从未意识到他对我来说如此重要，哪怕未曾谋面更难受的是，在2020年左右和之后再出生的孩子们，再听说或知道袁隆平爷爷这个人的时候，只会是历史书上印刷的那张苍白的他与水稻的合照了，而不再是活生生的那个人了……,0,2021-05-22 18:40:04,iPhone客户端,3995179146,2021-05-22 18:39:00,没用也欢喜女,女,袁隆平,海外
:#长沙市民雨中送别袁隆平#哭的不行，一路走好,0,2021-05-22 18:40:05,iPhone客户端,3986184095,2021-05-22 18:39:00,伦伦的丹姐,女,袁隆平,其他
:【#袁隆平多年在路边小店理发#】“杂交水稻之父”#袁隆平逝世#，享年91岁。从2003年开始，袁隆平就在一家不起眼的小理发店里理发。因为担心自己出现会引起围观，影响理发店生意，他每次都趁店里没人的时候才去。理发师曹女士称，袁老自己设计发型，剪完会俏皮地说“哈，我又年轻了”。 http://t.cn/A6VVteu4,0,2021-05-22 18:40:03,Android,3948683157,2021-05-22 18:39:00,呼和浩特市总工会,男,袁隆平,内蒙古
:#袁隆平的禾下乘凉梦#一粥一饭当思来之不易 ,0,2021-05-22 18:40:05,HUAWEI nova 3i,3247426734,2021-05-22 18:39:00,为姚元琢意难平的一年,女,袁隆平,海外
:#袁隆平国葬#请愿，应为袁老国葬，国旗盖身，功勋显著。。。 ,0,2021-05-22 18:40:05,vivo X27,2962454102,2021-05-22 18:39:00,吹袭的风,女,袁隆平,浙江
:#肖战最好的你[超话]#诚信互兔指路回“有一个梦，叫“禾下乘凉梦”，我们的水稻有高粱那么高，穗子有扫帚那么长，籽粒有花生那么大，我看着好高兴，坐到稻穗下乘凉 ”                                                           ——袁隆平 ,0,2021-05-22 18:40:00,肖战最好的你超话,2867482412,2021-05-22 18:39:00,Yu韫珠藏,女,袁隆平,北京
:今天有好好吃饭,0,2021-05-22 18:40:04,iPhone客户端,2729851592,2021-05-22 18:39:00,QCY,女,袁隆平,湖北
:#袁隆平国葬#请愿为袁老国葬！ ,0,2021-05-22 18:40:03,iPhone客户端,2693219567,2021-05-22 18:39:00,一个倔强的老阿姨,女,袁隆平,陕西
:#袁隆平逝世# 这盛世定会如您所愿一路走好,0,2021-05-22 18:40:02,iPhone客户端,2657405274,2021-05-22 18:39:00,阿尔卑斯水蜜桃子,女,袁隆平,广东
:朋友圈全是袁隆平老人，他值得，以后想起他都会悲伤，就这样走了,0,2021-05-22 18:40:07,荣耀10 AI变色更潮美,2623207167,2021-05-22 18:39:00,华枝春满,女,袁隆平,四川
#袁隆平逝世#据新华社报道，“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。在上世纪60-70年代，袁隆平播下了改变的种子，让中国不再面临饥饿的威胁。这些种子，也被看作中国国力的象征，走向现代，撒向世界。#洞见计划# http://t.cn/A6VVx0dx,490,2021-05-22 18:40:00,小米8周年旗舰手机,2415602053,2021-05-22 18:39:00,追梦人Sir,男,袁隆平,江西
:国之英雄，稻田里的守望者，袁爷爷一路走好,0,2021-05-22 18:40:00,iPhone客户端,2253279867,2021-05-22 18:39:00,带着梦想去旅行1224女,女,袁隆平,广东
:#袁隆平逝世# 袁爷爷，一路走好 ,0,2021-05-22 18:40:10,iPhone客户端,2243653734,2021-05-22 18:39:00,金玉视角,女,袁隆平,北京
:#袁隆平给母亲写的一封信# 妈妈，稻子熟了作者｜袁隆平　稻子熟了，妈妈，我来看您了。稻子熟了，妈妈，您能闻到吗？安江可好？那里的田埂是不是还留着熟悉的欢笑？隔着21年的时光，我依稀看见，小孙孙牵着您的手，走过稻浪的背影；我还要告诉您，一辈子没有耕种过的母亲，稻芒划过手掌，稻草在场上堆积成垛，谷子在阳光中毕剥作响，水田在西晒下泛出橙黄的味道。这都是儿子要跟您说的话，说不完的话啊……,0,2021-05-22 18:40:10,HUAWEI Mate 40 Pro,2134586017,2021-05-22 18:39:00,Lin,女,袁隆平,北京
:我分享了【新华每日电讯：建议为袁隆平院士逝世降半旗志哀】, 快来看吧！ | 新华每日电讯：建议为袁隆平院士逝世降半旗志哀 ,0,2021-05-22 18:40:05,小米浏览器,2061621845,2021-05-22 18:39:00,手机用户2061621845男,男,袁隆平,贵州
【痛悼！#共和国痛失袁隆平院士#,5997470,2021-05-22 18:40:10,小米8周年旗舰手机,1943652501,2021-05-22 18:39:00,淡忘的过去2013,女,袁隆平,广东
:人生需要磨练连咖啡豆都得研磨成粉才能冲泡给予我们抚慰 碗中仍有饱腹米🍚 人间再无袁隆平,0,2021-05-22 18:40:07,iPhone客户端,1837592472,2021-05-22 18:39:00,小粉Xx,女,袁隆平,湖南
:#长沙市民鸣笛送别袁隆平#有些泪目，这是实实在在为了人民的福祉做贡献的人，他值得这样的尊敬和爱戴。,0,2021-05-22 18:40:02,喵的iPhone 11,1715033554,2021-05-22 18:39:00,喵元旦和喵富贵,女,袁隆平,江西
:#袁隆平逝世#最不能理解的是以前有人拿杂交水稻难吃来攻击他，有一段时间感觉网上很多人都人云亦云，可能是生活好了，大家忘记了以前吃不饱饭的日子了吧，我爸妈跟我说她小时候吃点肉都稀罕的不得了，我奶奶临走前说从来没想过日子能过得这么好（虽然我家很穷），忘本是一种很危险的思想啊！ ,0,2021-05-22 18:40:05,iPhone客户端,1709993614,2021-05-22 18:39:00,一只小豆子0v0,女,袁隆平,北京
#袁隆平逝世#金黄的翅膀 ,10260,2021-05-22 18:40:05,微博国际版,1609966844,2021-05-22 18:39:00,Zoe,女,袁隆平,浙江
:#袁隆平逝世#  袁老走好,0,2021-05-22 18:40:05,微博国际版,1605938811,2021-05-22 18:39:00,V于乘风男,男,袁隆平,其他
:袁隆平的杂交水稻你吃过吗？为什么说他养活了中国人 - 来自知乎专栏·「时事热点」，作者：橙子响当当，http://t.cn/A6VVC0sM ,0,2021-05-22 18:40:03,知乎客户端,1511130767,2021-05-22 18:39:00,至此搁一半cc男,男,袁隆平,陕西
:生活在粮食充盈的年代更应该珍惜这来之不易的幸福感，小可爱们记得把盛到碗里的每一粒米饭都吃光光。#袁隆平逝世##袁隆平的两个梦# ,0,2021-05-22 18:40:02,努比亚Z20 影像旗舰,1505414571,2021-05-22 18:39:00,爱喝醋的小仙女女,女,袁隆平,四川
【#长沙市民鸣笛送别袁隆平#】5月22日，湖南长沙。袁隆平院士灵车经过之处，车辆鸣笛送别。,67920,2021-05-22 18:40:09,荣耀V20 4800万3D相机,1459356822,2021-05-22 18:39:00,没有目的瞎转,男,袁隆平,四川
:#长沙市民雨中送别袁隆平#吃饭的时候眼泪就止不住得掉,0,2021-05-22 18:39:55,iPhone客户端,6623112981,2021-05-22 18:38:00,劉浏刘LJY男,男,袁隆平,海外
:#袁隆平逝世享年91岁#感恩,0,2021-05-22 18:39:59,HUAWEI nova 3i,6478680119,2021-05-22 18:38:00,柠檬柠檬茶6478680119女,女,袁隆平,其他
:从来都没有想过袁隆平院士会这么快就离开人世，袁隆平院士一生都致力于研究水稻，为的是产岀更多的粮食产量，让人民牢牢抓住饭碗，希望袁老在另一个世界里能“禾下乘凉”多为自己着想。 ,0,2021-05-22 18:39:56,前置双摄vivo X9s,6176084740,2021-05-22 18:38:00,猫腻柔,女,袁隆平,北京
:#送别国之脊梁袁隆平# 我们从小就称他为袁隆平爷爷 我们这一代人亲眼所见 亲身感受过他的伟大付出而之后 在书本里的他 被称为历史人物的他 让我们能永远吃饱饭的他 或许不会为下一代带来如此感同身受的触动但 我们将永久铭记。吃水不忘挖井人，吃米不忘育种人愿国人端牢饭碗 挺直腰杆 愿祖国繁荣昌盛 民富国强 http://t.cn/RxnOekJ,0,2021-05-22 18:39:55,你银河我iPhone XS Max,5731347102,2021-05-22 18:38:00,张卓璐243,女,袁隆平,天津
【痛悼！#共和国痛失袁隆平院士#,5996960,2021-05-22 18:39:55,OPPO Reno5 Pro 5G,5699881614,2021-05-22 18:38:00,因为遇见你1108Roy,女,袁隆平,四川
【#袁老最后一次看杂交稻#】应家属要求，运送袁老遗体的车驶向湖南杂交水稻研究中心。让袁老最后再看看他毕生钟爱的“杂交稻”，回到育种实验室再看一看……#袁老回到了他奋斗的地方#,88580,2021-05-22 18:39:55,nova7你在焦点在,5650101661,2021-05-22 18:38:00,我宁愿我没有喜欢你女,女,袁隆平,海外
:哇我真的，三诊这几天情绪超级崩溃，晚上跟爸爸妈妈吵架，白天就心不在焉地考试。然后今天考生物之前突然给我讲袁隆平爷爷走了，我真的，一下子就破防了，啊真的做到杂交水稻的题都难过。我还想着能够看他一眼，从今以后他真的只存在在教科书上和人们的记忆中了了，从今以后杂交水稻这四个字在我心里永远都有说不出来的意义。太深刻了，就在考生物前知道的。一路走好，袁爷爷！ #共和国痛失袁隆平院士#,0,2021-05-22 18:39:56,华为手机 畅享玩不停,5617327607,2021-05-22 18:38:00,蓝田需汲酒女,女,袁隆平,海外
:分享视频 来自：葫芦童声《袁隆平作词，葫芦童声《我有一个梦》》袁隆平作词，葫芦童声《我有一个梦》 @QQ音乐 ,0,2021-05-22 18:39:56,QQ音乐,5512336114,2021-05-22 18:38:00,Q,女,袁隆平,贵州
网友：#我中午把饭乖乖吃光了#,211550,2021-05-22 18:39:59,HUAWEI nova 2 Plus,5190318000,2021-05-22 18:38:00,CathyMarchY,女,袁隆平,北京
【#袁隆平院士逝世#】“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。袁老，走好！ ,1707440,2021-05-22 18:39:56,iPhone客户端,3612291985,2021-05-22 18:38:00,蛋蛋赵赵女,女,袁隆平,其他
:#袁隆平逝世#“他们伟大到，我以为他们会永远活着”#钟南山团队悼念袁隆平院士#回到宿舍后，望着窗外发呆，感受到星星陨落，这一历史的篇章被印在了今天。朋友说“但他们的贡献不会成为历史的”。我只是芸芸众生中一个静默畏缩的蝼蚁，没有远大理想，也无踔绝之能，我仰望着这些星星，但同时也被星星带来的光亮照亮通道，唯愿这些伟大的传奇人物，也能成为下一代，下下代……孩子的信仰，在孩子们被越来越多人保护的明亮生活中，仍然能够感念这些伟大先驱者带来的光，现在我们所拥有的光亮，是他们从一个个看似不可能的裂缝中凿出来的希望,0,2021-05-22 18:40:11,微博搜索,3180157205,2021-05-22 18:38:00,温江妇联,女,袁隆平,四川
:昨夜山河齐恸震#云南青海接连地震# 今朝双星辞九州#袁隆平去世##吴孟超逝世# 二位国之功勋一路走好！   天津 ,0,2021-05-22 18:39:59,荣耀20,2570586701,2021-05-22 18:38:00,素暖清恬,女,袁隆平,天津
:#长沙市民雨中送别袁隆平#一直在哭，袁爷爷让我一直觉得能活几百年，太难受了 ,0,2021-05-22 18:39:55,nova7你在焦点在,2118127951,2021-05-22 18:38:00,声声慢TAT女,女,袁隆平,辽宁
:#袁隆平逝世#在我心里，袁爷爷总是不一样的，毕竟，人只有吃饱了饭，才能有力气去干其他事情。 北京 ,0,2021-05-22 18:39:55,iPhone客户端,2047204891,2021-05-22 18:38:00,zwl咿呀呀,女,袁隆平,江苏
:我不太会表达情感 可能只会说好难受啊好舍不得之类的话 但是内心真的跟刀绞了一样 刚才在吃饭刷到市民们雨中送袁爷爷的视频真的一下子破防了眼泪止都止不住 就开始猛的往嘴里送米饭想压住自己的泪然后就突然想到没有他我也就没有今天的这口饭吃啊,0,2021-05-22 18:40:12,OPPO A7x,7155114705,2021-05-22 18:35:00,小辣椒条,女,袁隆平,其他
:#袁隆平逝世#今天考完试一拿出手机就看到了这个噩耗，我的第一反应是震惊，是难以置信。为什么会这样呢？原来是因为袁隆平院士做出的伟大贡献，让他在我心里成为了不一般的存在，让他成为了与天上的星星一样闪耀的存在，让我认为他会一直健健康康的生活下去。可是人终有生老病死，我相信袁隆平院士在天上一定会是最闪耀的星星。,0,2021-05-22 18:40:12,快乐企鹅的Android,6767148232,2021-05-22 18:35:00,ppiuking,女,袁隆平,江西
:【雨中泪别袁隆平院士：#灵车载着袁老再看一眼曾工作的地方#,0,2021-05-22 18:40:11,微博视频号,3767371870,2021-05-22 18:35:00,渭南市委政法委,男,袁隆平,陕西
:【#袁老生前自述为什么学农#,0,2021-05-22 18:40:11,微博视频号,2323366973,2021-05-22 18:35:00,德阳茶人,男,袁隆平,四川
:原来wjw在班上找二十个同学帮忙积累素材，他报袁隆平的时候我举手了。回家查资料，看了很多自己看不懂的东西，当时想着以后都会学都会看懂的，谁想到我又选了一条完全相反的路。那个时候写作文千篇一律，最常用的例子一个是他，一个是立川谈志。写后者是因为改卷老师都不认得他可以随便捏造，前者则是因为那天晚上成了我少有的以旁观者角度观看别人前半生的机会。我记得他家里有只叫袁小花的猫，也记得他读书的时候游泳拿了奖，这些东西是脱离于他所做成就的，也是我现在所难过的。伟人逝世，让我难过的永远是“他其实也是一个平凡人”。,0,2021-05-22 18:40:13,新版微博 weibo.com,6919754189,2021-05-22 18:30:00,yzawieR,男,袁隆平,海外
:想起来以前每次在教科书里看到杂交水稻之父袁隆平的那个感觉。第一次学到是他喂饱了这么多人的那种震撼无法言说，再加上我格外爱吃米饭，所以这么多年都尊敬又爱戴袁老。以后每次吃饭都会心存感恩。曾经一个愿望就是希望他能活到200岁。虽然没能实现，但是下次您再来到这个世界就不用体会挨饿的感受了。,0,2021-05-22 18:40:13,iPhone 11,5829800276,2021-05-22 18:30:00,羽毛柚子玫瑰樱花,女,袁隆平,北京
:早上看到关于袁隆平院士的消息心里一颤，后来看到辟谣，心里暗骂什么人都有，什么事都造谣，心里还想幸亏是谣言！哪知道下午的消息铺天盖地，看到一次，心里难受一次！他是时代的楷模，是人的救星，为祖国、为人民的粮食问题奋斗了一辈子，是我们的大功臣，是中华儿女心中最亮的星！国之栋梁，国之脊梁，爱无声，爱永存！敬送袁老！,0,2021-05-22 18:40:12,iPhone客户端,3135209331,2021-05-22 18:30:00,茧中微蝶女,女,袁隆平,其他
:#青春传递# 【#社会各界悼念送别袁隆平#：湖南农大网站变黑白 袁隆平母校学生雕像下献花】5月22日13时07分，袁隆平院士逝世，享年91岁。#钟南山团队悼念袁隆平院士#，“感念与袁隆平院士这样的伟大人物处于同一时空的每一分每一秒”。联合国粮食及农业组织发文称，“一生修道杂交粮，万家食粮中国粮”。湖南农业大学官方网站变黑白，缅怀名誉校长袁隆平院士。袁隆平母校西南大学的学生，自发前往袁隆平雕像下献花。 http://t.cn/A6VVoE98,0,2021-05-22 18:40:12,微博视频号,2883768444,2021-05-22 18:30:00,青羊共青团,女,袁隆平,四川
:看到评论里说：“可以考虑把今天立为节约粮食日”，特别特别的赞同！真觉得需要大力倡导全民节约粮食了。每次外出吃饭，附近桌上无论主食或是菜，都剩的不少。生活条件好，精神素质也得跟上。普通人能够贡献的，是尽己之力不浪费，并督促家人、孩子不浪费粮食和一切食物。珍惜和感恩今天的幸福，但不能光嘴上喊喊，我们需要付诸行动，去做些什么！🙏🙏,0,2021-05-22 18:40:13,HUAWEI P40 5G,2418267787,2021-05-22 18:29:00,Miya日记簿,女,袁隆平,山东
:袁隆平院士解决了中国人的吃饭问题，袁老一生为国为民作出了巨大贡献，中国老百姓永远记得他！我一生经历二次粮食危机，一次是在五六，五七年的浙江，一次是在六十年代的宁夏，吃不饱，饿的有今天不知明天活，，，！今天，大米，白面随你吃，这都是靠党的领导和象袁院仕那样的农业科技工作者的努力所为。袁老奋斗一生无憾的走了！我们深深的致哀，祈祷袁老一路走好！,0,2021-05-22 18:40:13,OPPO A9,6154053087,2021-05-22 18:25:00,老农夫6154053087,男,袁隆平,宁夏
:我们和您活在同一个时代，知道您为人民和人 类事业做过什么，知道您一辈子节俭的作风。您永远留在历史里了，人民永远失去了一位好同志，人类永远失去了一位优秀杰出的农业学者，真的很难过。虽然知道人都会死，但我总是下意识觉得那些伟大的人都是应该永生的，多活一天都是全人类的幸事。袁隆平爷爷，在天堂一定要幸福,0,2021-05-22 18:40:13,iPhone客户端,5658978161,2021-05-22 18:25:00,包子不吃包子,女,袁隆平,江西
:时代更迭 我们已经到了要跟很多人说再见的年纪了 还记得小学课本里袁隆平爷爷在稻田中的照片 认真睿智慈祥 袁隆平爷爷这样的人才是我们该追的星  青年人真的要立大志 明大德 成大才 担大任 以后一定要好好吃饭不浪费一粒粮食 我要努力考上心仪的工作 在日后的岗位里发光发热 也要教育好我的学生们成为新时代的有志青年,0,2021-05-22 18:40:13,iPhone客户端,5229340667,2021-05-22 18:25:00,Yoyo,女,袁隆平,海外
