article,discuss,insertTime,origin,person_id,time,transmit,net_name,sex,area,transfrom,like
#刘怡潼[超话]#Iyt#刘怡潼 超时空罗曼史# Iyt#向全世界安利最好的刘怡潼# 时光如水，总是无言，你若需要，我便在，你的岀现，够我欢喜好多年。@刘怡潼 海东 ,7,2021-05-22 08:35:06,刘怡潼超话,7436060616,2021-05-22 05:01:00,0,潼心相随,女,青海,,9
〖有人在原地等你，也有人源源不断奔向你〗  @Dear-迪丽热巴 ：演员这条路，你走了很久。一路上，与不同的角色相遇、告别，你脚步沉稳踏实，目光长远坚韧。我们深知，这条路不平，但别担心，你永远可以大步勇敢地向前走，我们会跟在你身后记录你的每一个背影，为你把每一个成长奋斗的脚印踩实，再大...全文,41220,2021-05-22 08:35:25,SR❤️Android,6613339416,2021-05-22 04:51:00,0,·零六零叁·,女,浙江,,0
我为#迪丽热巴[超话]#贡献38影响力，超话目前在明星超话No.22！还差25.6万影响力超越上一名！戳这里→http://t.cn/RkV0oz9 跟我一起助TA荣登超话封面吧~ ,0,2021-05-22 08:35:26,超话,6613339416,2021-05-22 04:50:00,0,·零六零叁·,女,浙江,,0
#RNG晋级决赛# 很高兴在今天的比赛中 RNG 3:1 PSG 成功晋级MSI决赛！时隔三年，我们将再次朝着MSI的冠军奖杯发起冲击！11分钟对方越上路我方打出1换2后再拿到小龙，15分钟推掉上一塔，17分钟野区团战1换3之后火龙魂听牌，26分钟大龙团打出3换5,28分钟我方拿到火龙魂，30分钟对方拿到大龙，33分钟野区...全文,52390,2021-05-22 08:35:15,OPPO Reno5 K 5G,2070616187,2021-05-22 01:32:00,0,工作室在逃打工人,女,北京,我的超人今天看得心梗,0
长大的六斤，和新的一年。#元气爱豆的日常#。#2021牛起来呀# 绿洲 ,10000000,2021-05-22 08:35:33,vivo智能手机,7498745205,2021-05-22 01:07:00,0,-心事只有风知道,女,山东,,0
分享图片 ,1251850,2021-05-22 08:35:13,WilhelminaAndroid,2919598553,2021-05-22 00:11:00,0,一粒江米_Jiang,女,新疆,转发微博,0
刚刚在积分乐园兑换了5元现金红包，如此简单，用积分就能做到！不说了我去收现金啦！积分兑红包>> 现金红包天天拿 ,0,2021-05-22 08:35:14,微博积分,2919598553,2021-05-22 00:06:00,0,一粒江米_Jiang,女,新疆,,0
面膜遮丑szd！ PiKyH_0117的微博视频 ,0,2021-05-22 08:35:26,微博视频号,5716234518,2021-05-21 23:40:00,0,PiKyH_0117,女,浙江,,0
睡了，胳膊疼脑壳疼看阴间bp我脑壳更疼了！非得莫甘娜？,1,2021-05-22 08:35:25,橙猪的iPhone 11,5071768408,2021-05-21 23:15:00,0,阿橙橙妹,女,吉林,,2
出发！gogogo! ,2,2021-05-22 08:35:15,浮生若夢のAndroid,5185600760,2021-05-21 23:00:00,0,晓小qiong,女,海外,,0
这握手好可爱啊 ,20,2021-05-22 08:35:02,iPhone XR,3491815923,2021-05-21 22:59:00,0,JT_小话唠,女,广东,活该单身,1
好家伙 我怎么没看过这个视频？ 冰月桃花限定·的微博视频 ,160,2021-05-22 08:35:25,iPhone客户端,5628921270,2021-05-21 22:45:00,0,吃铜锣烧迈,女,山东,还真是没见过,0
#上新了预告片#我在#夏夜寻宝环游记#H5中分享了电影《中国医生》的预告片并获得了10张#微博电影之夜#互动投票券，快来和我一起看新片，助力中国电影吧！新浪电影的微博视频寻宝入口→2021微博电影之夜【夏夜寻宝环游记】 ,0,2021-05-22 08:35:13,微博电影,7235956535,2021-05-21 22:42:00,0,C肉不长肉,女,浙江,,0
我好快乐啊,2,2021-05-22 08:35:25,橙猪的iPhone 11,5071768408,2021-05-21 22:34:00,0,阿橙橙妹,女,吉林,,1
【#马斯克称未来所有交通工具都将是电动#】特斯拉CEO埃隆·马斯克在俄罗斯发表演讲称，毫无疑问，未来汽车将实现自动驾驶，除火箭外，未来所有的交通工具都将是电动的。他还表示，合理的下一步是在月球上建立永久基地，并最终在火星上建立城市。马斯克：除火箭外，未来所有的交通工具都将是电动的 ,23340,2021-05-22 08:34:59,iPhone客户端,3299775383,2021-05-21 22:27:00,0,Huhu_der,女,其他,醒醒,0
明早8点多考试 ，我在 ,3,2021-05-22 08:35:19,映畫監督iPhone 12,6466594529,2021-05-21 22:21:00,0,Gymnopedies7,女,海外,,0
#王俊凯[超话]#  #王俊凯拍毕业照# #就是爱你[音乐]# 从校服到学士服陪一个小男孩告别学生时代了 青春湿漉漉 如你眼眸 剩下的盛夏 骄阳似火“青春”二字多美好 好到怎样度过都是浪费  所以不祝你没有遗憾了 祝你少点遗憾 多点经历如果说未来的出现很多都会变 要记住内心不要变人生关关难过 关关...全文,9630,2021-05-22 08:35:32,OPPO A32,7385557500,2021-05-21 22:13:00,0,·清蒸鱼丸,女,山西,毕业快乐,0
#上新了预告片#我在#夏夜寻宝环游记#H5中分享了电影《中国医生》的预告片并获得了10张#微博电影之夜#互动投票券，快来和我一起看新片，助力中国电影吧！新浪电影的微博视频寻宝入口→2021微博电影之夜【夏夜寻宝环游记】 ,0,2021-05-22 08:35:14,微博电影,7235956535,2021-05-21 22:08:00,0,C肉不长肉,女,浙江,,0
无尽快乐源泉,50,2021-05-22 08:34:53,荣耀10青春版,5362777130,2021-05-21 21:57:00,0,朝霞红日彩云,女,其他,许三观揪猫尾巴太可爱了,0
大开杀戒,0,2021-05-22 08:34:52,微博视频号,5022917130,2021-05-21 21:55:00,0,坏坏跑的快,女,北京,,0
#李克勤[超话]#最爱你的笑容520快乐,260,2021-05-22 08:34:53,荣耀10青春版,5362777130,2021-05-21 21:54:00,0,朝霞红日彩云,女,其他,笑靥如花,1
我刚刚在#夏夜寻宝环游记#H5中参与了寻宝，这里不仅有投票券，还有2021微博电影之夜线下盛典门票呦，快来和我一起寻宝，参与#微博电影之夜#助力互动，为中国电影加油吧！寻宝入口→2021微博电影之夜【夏夜寻宝环游记】 ,0,2021-05-22 08:35:15,微博电影,7235956535,2021-05-21 21:53:00,0,C肉不长肉,女,浙江,,0
#张哲瀚状态#又是一个不眠夜呀【ps:老婆好好康,0,2021-05-22 08:35:15,WilhelminaAndroid,2919598553,2021-05-21 21:37:00,0,一粒江米_Jiang,女,新疆,又可以换壁纸啦,1
#难听#我们小哲出息啦！！！又有人来黑,0,2021-05-22 08:35:15,WilhelminaAndroid,2919598553,2021-05-21 21:29:00,0,一粒江米_Jiang,女,新疆,真嫉妒使人丑陋不过还是要说一句老婆坚强,10
宋亚轩目前最全个人歌单！包含舞台MV、单人训练、直播、弹唱和随便唱唱系列，让小宋老师帮你拯救歌荒,4380,2021-05-22 08:35:32,OPPO A32,7385557500,2021-05-21 21:26:00,0,·清蒸鱼丸,女,山西,,0
开始过呼吸了,3,2021-05-22 08:35:16,OPPO Reno5 K 5G,2070616187,2021-05-21 21:05:00,0,工作室在逃打工人,女,北京,,0
#言锁[超话]##言锁[超话]# 抽奖抽个小奖[杰瑞]祝贺我言锁的锁入围白玉兰最佳女主,840,2021-05-22 08:35:16,nova5 人像超级夜景,7235956535,2021-05-21 20:33:00,0,C肉不长肉,女,浙江,报销爱奇艺两个月会员不限月流金播出后到今天之前有买过就行报销今年倪妮上映的电影票各一张待映和女一的柳川报销倪妮待播电视剧功勋播出平台个月会员虽然是单猪宝加油越来越棒,0
老婆你笑死我了,0,2021-05-22 08:35:26,橙猪的iPhone 11,5071768408,2021-05-21 20:26:00,0,阿橙橙妹,女,吉林,,1
我爱你 我不要没有你@时代少年团队长-马嘉祺 ,26690,2021-05-22 08:35:26,iPhone客户端,5628921270,2021-05-21 20:09:00,0,吃铜锣烧迈,女,山东,转发微博,0
今天我在#微博打卡王#活动中排名No.1,不服来战！#微博打卡王#瓜分百万红包，快去打卡 ,0,2021-05-22 08:35:02,Redmi Note 7 Pro,2847004987,2021-05-21 19:59:00,0,CBD的皇额娘,女,其他,,0
我在#微博打卡王#活动中抽中100积分,新一轮瓜分百万的机会已开启,快来一起参与#微博打卡王#瓜分百万红包，快去打卡 ,0,2021-05-22 08:35:02,微博打卡王,2847004987,2021-05-21 19:57:00,0,CBD的皇额娘,女,其他,,0
全新@DIOR迪奥  WORLD TOUR限定系列和HOMEWEAR KIT套装，提前抱来，穿上它们一起旅行啦～ ,633260,2021-05-22 08:35:33,OPPO A32,7385557500,2021-05-21 19:43:00,0,·清蒸鱼丸,女,山西,转发微博,0
今晚12点准时上线，请来听。#刘畅再睡五分钟# 刘畅木法沙的微博视频 ,87260,2021-05-22 08:35:03,Redmi Note 7 Pro,2847004987,2021-05-21 19:35:00,0,CBD的皇额娘,女,其他,期待,0
【女生必看】这样释放魅力，一天换8个男友不在话下#爱的方程式# #谢雨的恋爱笔记[超话]# #520快乐# @微博情感  谢雨的恋爱笔记的微博视频 ,72,2021-05-22 08:35:01,微博 weibo.com,2671109275,2021-05-21 19:18:00,4,新手指南,男,北京,这种女生太哇噻啦,58
盼了好久终于盼！到！今！天！@时代少年团 向全体D球人发出邀请：德克士18号超级会员日，加1元，得2份！今天你想和_____一起共进午餐？ ,36640,2021-05-22 08:35:34,OPPO A32,7385557500,2021-05-21 19:01:00,0,·清蒸鱼丸,女,山西,感谢分享初夏日给味蕾一份礼物一个满足又一个超级会员日到啦和一起享受美味吧,0
年轮一圈圈，稚嫩孩童如今已是俊逸少年；风景几回环，懵懂无知的都变成风度翩翩。春夏秋冬，成长的四季你们朝夕相伴；苦辣酸甜，人生的百味你们同享同担。共享歌单伴你们从雾色山城到边疆大海，做对方的灵魂伴侣，也做彼此的长不大小孩笑弯了的眼是给彼此任性的无限偏爱。揽肩的动作仿佛已变为...全文,2130,2021-05-22 08:35:34,OPPO A32,7385557500,2021-05-21 19:00:00,0,·清蒸鱼丸,女,山西,感谢一起从一米六长到一米八真的非常了不起岁岁年年并肩同行祝轩轩文文小朋友和全体海石三节日快乐,0
#饭圈扩关[超话]#http://t.cn/A6crJ0hq看好属性再来 ,55,2021-05-22 08:35:32,饭圈扩关超话,7254822334,2021-05-21 18:35:00,1,92Carnation,女,其他,,10
#嘉人谈资##简约黑白光影# 黑白光影打造神秘气氛，黑色系服装的融入更增添高冷气质。#马嘉祺[超话]##丁程鑫[超话]##宋亚轩[超话]##刘耀文[超话]# 塑造的高级感，你更喜欢谁呢？ ,34040,2021-05-22 08:35:15,iPhone 12,5725245736,2021-05-21 18:14:00,4,保护我方吻文呀,女,北京,感谢分享亮眼少年与黑色简约系服装相融合纯粹又高级光影游离间散发时尚气息,3
#刘耀文平平无奇骑三轮车天才# 《快乐大本营》小刘师傅@时代少年团-刘耀文 报道,5650,2021-05-22 08:35:16,iPhone 12,5725245736,2021-05-21 18:11:00,0,保护我方吻文呀,女,北京,因为没满岁不能骑电动车不得不选择三轮车没想到一秒上手超级稳哈哈哈哈哈真平平无奇的三轮车天才我特别轻能带我一个吗,2
凑不满九宫格，只能奉上一张自拍凑一凑,194580,2021-05-22 08:34:54,小米Play 自带流量,6317997208,2021-05-21 17:42:00,0,小刘同学的芦苇荡,女,江苏,得来个宫格吧,0
【新闻】4月韩国院线观众人数达256万人……虽然比去年有所增加，但对于恢复如初要走的路还很长据电影振兴委员会21日公布的2021年4月韩国电影产业结算结果显示，总体观众人数达256万人，销售额达235亿韩元。 与前一个月相比，观众人数减少了21.3%（69万名↓），销售额减少了21.9%（66亿韩元↓），与去...全文,60,2021-05-22 08:35:03,iPhone XR,3491815923,2021-05-21 17:28:00,0,JT_小话唠,女,广东,一声叹息哎,0
#男生有处女情结错在哪里# 看到女生被有“处女情结”的男友责骂，大家会怎么做？爱一个人的前提，是尊重她。#大树君# #爱的方程式# 大树君TreeMan的微博视频 ,5629,2021-05-22 08:35:02,微博 weibo.com,2671109275,2021-05-21 17:25:00,4,新手指南,男,北京,当陌生人看到女生被有处女情结的男友责骂时你会怎么做,112
我在#奇悬疑剧场#给@聂远 注入硬核能量，送他坐稳悬疑烧脑榜榜首！ 悬疑烧脑榜 ,0,2021-05-22 08:35:17,nova5 人像超级夜景,7235956535,2021-05-21 17:18:00,0,C肉不长肉,女,浙江,,0
如果邻居有罪，就让他去坐牢，而不是搁这被你天天24小时监视！,3330,2021-05-22 08:35:04,HUAWEI P20,1756618803,2021-05-21 17:10:00,0,汤川野,女,北京,转发微博,0
#d- trend# | @刘海宽_hill  ，他就像下午四五点的阳光不会过分的热烈，温温柔柔的，风中还夹杂着一些余温，而落在墙上模糊的光影，好像能看到他那天一帧帧的画面。品牌鸣谢 | Anode Cathode | HERBET | Maulica | CLARKS | remains | SFTTR | ERROR | KVK出品 | @dataste创意&策划 |...全文,1800,2021-05-22 08:35:16,浮生若夢のAndroid,5185600760,2021-05-21 16:13:00,0,晓小qiong,女,海外,期待,0
@聂远 我在#我在颐和园等你#干事能量榜上为你打Call啦，你就是我心中的最棒的苏州街特邀干事！ 我在颐和园等你#我在颐和园等你#干事能量榜 ,1,2021-05-22 08:35:18,nova5 人像超级夜景,7235956535,2021-05-21 16:04:00,0,C肉不长肉,女,浙江,,0
我在#奇悬疑剧场#给@聂远 注入硬核能量，送他坐稳悬疑烧脑榜榜首！ 悬疑烧脑榜 ,0,2021-05-22 08:35:18,nova5 人像超级夜景,7235956535,2021-05-21 16:03:00,0,C肉不长肉,女,浙江,,0
@聂远 我在#上新了故宫#上新能量榜互动中，为你打Call啦，你就是我心中的最棒的故宫文创新品开发员！ 上新了故宫#上新了故宫#上新能量榜 ,1,2021-05-22 08:35:20,nova5 人像超级夜景,7235956535,2021-05-21 16:01:00,0,C肉不长肉,女,浙江,,0
疫苗打完没啥事目前？只是针眼疼 ,23,2021-05-22 08:35:26,橙猪的iPhone 11,5071768408,2021-05-21 15:48:00,0,阿橙橙妹,女,吉林,,3
#任嘉伦[超话]#今天天气这么好，应该出来见个面[ok]@任嘉伦Allen ,115750,2021-05-22 08:35:09,iPhone 11 Pro,2725499067,2021-05-21 15:47:00,0,杨怡雯cupcake,女,浙江,啊啊啊啊帥炸了,1
女人该如何让自己越来越优秀？优秀不是目的，而是一种生活态度#爱的方程式# 晓生-情感修复师的微博视频 ,491,2021-05-22 08:35:02,微博 weibo.com,2671109275,2021-05-21 14:53:00,1,新手指南,男,北京,一起变优秀为了自己,44
我愿称龚俊为人狗合一啊 没有比这更萨摩的了,6060,2021-05-22 08:35:27,橙猪的iPhone 11,5071768408,2021-05-21 14:48:00,1,阿橙橙妹,女,吉林,人狗合一我笑死了笑死,0
#松下洸平[超话]#超新鲜的洸平桑~ ,1,2021-05-22 08:35:05,松下洸平超话,1756618803,2021-05-21 14:28:00,0,汤川野,女,北京,,3
#吉田宗洋[超话]#❤️  激情表白 ❤️ ,1,2021-05-22 08:35:06,吉田宗洋超话,1756618803,2021-05-21 14:18:00,0,汤川野,女,北京,,7
@李克勤 上個星期嘅IG live都幾好玩, 今個星期繼續, 明天晚上《聲夢傳奇》後, 10:05, 今次可唔可以請啲導師上來？转自克勤ins#李克勤[超话]# ,730,2021-05-22 08:34:53,荣耀10青春版,5362777130,2021-05-21 14:09:00,0,朝霞红日彩云,女,其他,期待啊,0
#刘怡潼[超话]#lyt#刘怡潼双面神探# [鲜花]#向全世界安利刘怡潼# 到处找小刘,0,2021-05-22 08:35:16,刘怡潼超话,2919598553,2021-05-21 13:59:00,0,一粒江米_Jiang,女,新疆,可可爱爱的臭宝,3
都拿出你压箱底的段子吧，一起乐呵乐呵,28,2021-05-22 08:35:03,微博 weibo.com,2671109275,2021-05-21 13:25:00,11,新手指南,男,北京,怀旧经典环节开心一刻,78
#520秀恩爱变少你怎么看#一方面，是现在恋爱的人越来越少了，搞暧昧和喜欢单身的人越来越多了。另一方面，好好谈恋爱的人越来越明白爱情不是靠“秀”的了。我们可以将秀恩爱分成三层。第一层，金钱。晒转账截图，5201314等等，用金钱的数字来展现情感的价值。第二层，时间。两个人一起旅游的...全文,23,2021-05-22 08:35:04,微博 HTML5 版,2671109275,2021-05-21 13:21:00,7,新手指南,男,北京,喜欢你就只想对你一个人秀恩爱,72
#刘怡潼[超话]#lyt#宝藏男孩刘怡潼# [心]#刘怡潼双面神探# ,1,2021-05-22 08:35:17,刘怡潼超话,2919598553,2021-05-21 13:15:00,1,一粒江米_Jiang,女,新疆,怎么会没有心事那一直是你的名字抹水印二改二传请注明出处抱图请留言,2
#觉醒年代yyds#  为什么不让张桐入围！！！！李大钊演的不好吗？觉醒年代yyds！ ,0,2021-05-22 08:35:01,微博极速版,6358477148,2021-05-21 13:01:00,0,草莓年糕有点甜,女,其他,,0
#马嘉祺[超话]#❄️#马嘉祺 雪落下的声音#你是否看见一朵花  那不是暖风厚土孕育的花冷处偏佳 别有根芽严冬更显芳华雨凝作的身薄且凉唯有朔风能与之相拥风停在哪就落在哪漫天飞雪中你是否于千万人中看见那一朵花❄️      ❄️祝贺马嘉祺翻唱的《雪落下的声音》❄️                  ❄️...全文,16630,2021-05-22 08:35:27,iPhone客户端,5628921270,2021-05-21 13:01:00,0,吃铜锣烧迈,女,山东,我跟小马命中注定的一个视频听你唱的第一首歌恭喜宝贝,0
#快本超前营业中# 快乐家族蘑菇屋团建超长预告惊喜上线,4250,2021-05-22 08:35:17,iPhone 12,5725245736,2021-05-21 12:37:00,3,保护我方吻文呀,女,北京,还有快本的宝藏未播独家放送每周五点快本超前营业中准时营业感谢分享快本超前营业中准时来袭齐聚一堂乐开怀元气少年与夏日一同到来欢乐不止从此刻开始吧,0
#520秀恩爱变少你怎么看# 你觉得今年520秀恩爱的小情侣变少了吗？你觉得秀恩爱的情况变好了吗？ ,21,2021-05-22 08:35:05,微博 weibo.com,2671109275,2021-05-21 11:38:00,2,新手指南,男,北京,,61
【我大概是第一个被苹果拉黑的（bushi】#微博公开课# #数码# #数码测评# #数码奇妙月# 发个番外篇先，正片在做了在做了QAQ别骂了别骂了感谢取景框看世界 陪我拍的几个搞怪镜头 感谢王波粒 给素材不够用的我分享的素材！ 六分超超的微博视频 ,234,2021-05-22 08:35:06,微博 weibo.com,2671109275,2021-05-21 11:18:00,5,新手指南,男,北京,大概是第一个被苹果拉黑的博主,51
#爱唱歌的Tom[超话]#在评论区刷存在感，有意义吗？我真是够够的了[微笑] 海东 ,0,2021-05-22 08:35:07,爱唱歌的Tom超话,7436060616,2021-05-21 11:17:00,0,潼心相随,女,青海,,0
我在#微博打卡王#活动中抽中150积分,新一轮瓜分百万的机会已开启,快来一起参与#微博打卡王#瓜分百万红包，快去打卡 ,0,2021-05-22 08:35:17,微博打卡王,5185600760,2021-05-21 11:06:00,0,晓小qiong,女,海外,,0
我觉得疫苗又打不上了我4班,9,2021-05-22 08:35:27,橙猪的iPhone 11,5071768408,2021-05-21 11:05:00,0,阿橙橙妹,女,吉林,我无语爱打不打我备我课糙因为它我窜时间原本帮一个妹子替课推了然后我寻思下午跟阿姨备课然后这又得随时待命等通知累了烦了,4
这10个关于恋爱的道理，希望你能在今天明白！#520说爱你# #爱的方程式# #情感视频红人show# 路远情长LY的微博视频 ,81,2021-05-22 08:35:07,微博 weibo.com,2671109275,2021-05-21 10:55:00,2,新手指南,男,北京,一起解锁恋爱十大法则,24
#520和521有什么区别#上学，吃饭，睡觉，上厕所 ,0,2021-05-22 08:34:55,小米Play 自带流量,6317997208,2021-05-21 10:47:00,0,小刘同学的芦苇荡,女,江苏,,1
#刘奕君[超话]##电视剧生活家##刘奕君##刘心悠沙发咚刘奕君##刘奕君刘心悠感情戏##刘奕君生活家# 瞧把孩子给吓的[笑cry] ,120,2021-05-22 08:35:01,微博极速版,6358477148,2021-05-21 10:44:00,0,草莓年糕有点甜,女,其他,转发微博,0
建筑学大师初级课程开课啦！！！赶紧给我干饭起来！！！#星河队长# captain星河的微博视频 ,79,2021-05-22 08:35:07,微博 weibo.com,2671109275,2021-05-21 10:21:00,3,新手指南,男,北京,建筑大师的自助餐,82
东厂玩变装，西厂心慌慌…#微博喜剧现场# 阿拉丁狗蛋儿的微博视频 ,182,2021-05-22 08:35:05,微博 weibo.com,2671109275,2021-05-21 10:20:00,2,新手指南,男,北京,肉联西厂欢迎您,43
#刘怡潼[超话]#lyt #向全世界安利刘怡潼# 请保持那一份热爱，奔赴下一场山海❤ ,0,2021-05-22 08:35:07,vivo Y3 闪充强续航,7436060616,2021-05-21 09:49:00,0,潼心相随,女,青海,转发微博,0
我要看你拿终身成就奖，河艺术家。爱你哦。,2,2021-05-22 08:35:04,iPhone XR,3491815923,2021-05-21 09:22:00,0,JT_小话唠,女,广东,,4
中字又看了一次。糙叔听的音乐一如既往，和随笔里推荐的一样，偏古典，感觉比较高雅。他内心确实有柔软，感性，孤独的一面。也许所有好的艺术类工作者都有这样的共性。强的共情能力，细腻的情愫才能支撑他们完成各种艺术感知和表达，创造出能打动观众的作品。看到那句：觉得这种情况会持续很长一段时间...全文,0,2021-05-22 08:35:05,iPhone XR,3491815923,2021-05-21 09:04:00,0,JT_小话唠,女,广东,,3
#爱心一本书[超话]# ,2070,2021-05-22 08:35:18,浮生若夢のAndroid,5185600760,2021-05-21 09:00:00,0,晓小qiong,女,海外,爱的表白在这浪漫的日子和我一起来表白吧一份爱的表白一本爱的图书助力孩子们梦想起航点击转发微博,0
【太空存档！#中国航天器传回的太空影像集#,10160,2021-05-22 08:35:08,vivo Y3 闪充强续航,7436060616,2021-05-21 08:43:00,0,潼心相随,女,青海,月日天问一号着陆后影像发布祝融号传回火星画面从嫦娥奔月到天问探火中国航天不断向星辰大海更深处进发从首张月背影像到多角度地月合影一张张太空照留存下珍贵的太空记忆值得珍藏转发微博,0
#演员刘畅[超话]#20210521  水月镜花我有多爱你都在PS里走流程@刘畅木法沙 #陪你从刘畅到4k# lc#刘畅正能量# ,520,2021-05-22 08:35:04,Redmi Note 7 Pro,2847004987,2021-05-21 08:01:00,0,CBD的皇额娘,女,其他,美,0
[幻想乐园 原创发布][TVN综艺]《郭家的LP吧》[E01.210519期 韩语中字]【已发布】@幻想乐园字幕分享   @CenturyBlue百年唯蓝  联合发布#河正宇# #崔始源（Super Junior）# #姜唯美# #郭承俊#  幻想乐园微视频的微博视频 ,140,2021-05-22 08:35:06,iPhone XR,3491815923,2021-05-21 07:33:00,0,JT_小话唠,女,广东,感谢中字,0
我刚刚成功抽到了现金红包！小积分竟能抽大礼，机会难得戳我抽奖>> 现金红包天天拿 ,0,2021-05-22 08:34:44,微博积分,2267763953,2021-05-21 06:45:00,0,lbjbzjh001,男,河南,,0
[幻想乐园 原创发布][TVN综艺]《郭家的LP吧》[E01.210519期 韩语中字]【已发布】@幻想乐园字幕分享   @CenturyBlue百年唯蓝  联合发布#河正宇# #崔始源（Super Junior）# #姜唯美# #郭承俊#  幻想乐园微视频的微博视频 ,140,2021-05-22 08:34:54,荣耀10青春版,5362777130,2021-05-21 04:50:00,0,朝霞红日彩云,女,其他,哇太感谢了昨天刚啃完生肉今天就有中字翻译,0
#Mitchell和马[超话]# [心]#和马mitchell0515生日快乐# 和马原创生贺曲《模样》你在朝夕中回眸，岁月中颔首，抖落二十载风尘，以最纯真面孔示人你的眼眸明亮如星子，我们的爱意汹涌如浪潮千言万语在银河中闪烁，在溪流中奔涌，最后汇成一句：静待归期—————————————————《模...全文,9220,2021-05-22 08:35:15,华为手机,2507164864,2021-05-21 00:06:00,0,Gegege的苇太郎,女,江苏,单曲循环守望不解散,0
#Mitchell和马[超话]#[蛋糕]#和马mitchell0515生日快乐# 祝我哩kaz生日快乐！！！最近太忙时间太赶啦没来得及细画,1260,2021-05-22 08:35:16,华为手机,2507164864,2021-05-21 00:04:00,0,Gegege的苇太郎,女,江苏,不过以后还有的是时间等你呀健健康康快快乐乐就好太可爱了每一个,0
-哼哼的vlog里捡到春节的甜心kaz～#Mitchell和马[超话]# . 塑料河的微博视频 ,2850,2021-05-22 08:35:16,华为手机,2507164864,2021-05-21 00:00:00,0,Gegege的苇太郎,女,江苏,真好你也在坚守,0
#刘怡潼[超话]#Iyt#刘怡潼 超时空罗曼史# Iyt#向全世界安利最好的刘怡潼# 我喜欢你，自始至终，心心所向，除了你，心无他人，山有木兮卿有意，昨夜星辰恰似你。今天的自已超级开心，不止感动,19,2021-05-22 08:35:08,刘怡潼超话,7436060616,2021-05-21 00:00:00,1,潼心相随,女,青海,毕业快乐呀你一直会是你那个我们引以为傲的你,20
那时世间有个硕大的月亮。我看着你，看坏了眼睛。 和馬物語的微博视频 ,1890,2021-05-22 08:35:17,华为手机,2507164864,2021-05-20 23:58:00,0,Gegege的苇太郎,女,江苏,物语的坚持是最长情的告白,0
毕业快乐啊，会一直一直陪着你。@刘怡潼 海东 ,1,2021-05-22 08:35:09,vivo Y3 闪充强续航,7436060616,2021-05-20 23:19:00,0,潼心相随,女,青海,,5
